Nama Resto,alamat,daerah,buka_tutup,jam_buka,jam_tutup,harga_semua,harga_awal,harga_akhir,rata_rata,rating,telepon,tipe,menu,review 
Seafood 68 Santa," Jl. Wolter Monginsidi No.58 2 4, RT.2/RW.4, Rw. Bar., Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170",Jakarta Selatan,17.30  -  24.00,5:30:00 PM,  24.00,50.000  -  100.000,"50.000,00","100.000,00","75.000,00",4.4,,PKL,"Ikan Bakar, Cumi Goreng Tepung, Udang Saus Padang, Kepiting Rebus","5/5 TOP !!! Tempatnya oke, makanannya enak, pelayanannya cepet ! Mantap lah pokoknya 👍 Setiap mau beli seafood di Jakarta suka skeptis, takut gk fresh, rasanya gk enak dan lama masaknya. Semua itu dipatahkan di Seafood 68 Santa 🙌"
Bebek Goreng Pak Joko Putra,"Jl. Petogogan II No.23 8, RT.9/RW.6, Pulo, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,16.00  -  23.30,4:00:00 PM,  23.30,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.6,81212195350,PKL,"Bebek Goreng, Nasi Uduk, Sambal, Tempe Goreng","Pilihan menunya banyak dan semuanya enak, harga juga terjangkau sesuai dengan rasanya. Menu wajib ayam kampung, berbagai jenis ikan dan jangan lupa sate kulit ayamnya yang gurih. Pelayanan cepat dan ramah, tempatnya bersih. Lokasinya demat dengan stasiun MRT Blok A, tinggal jalan kaki sedikit sudah sampai."
Sate Padang Ajo Ramon,"Pasar Santa, Area Parkir, Jl. Cipaku I No.5 2, RT.5/RW.4, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170",Jakarta Selatan,16.00  -  24.00,4:00:00 PM,  24.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.6,81314334666,PKL,"Sate Padang, Lontong, Gulai, Rendang","Memang sate Padang paling enak deh ini. Tiap ke Santa selalu nyempetin buat mampir kalau udah buka. Oh ya, bukanya sekitar jam 4-5 sore, jadi kalau ke sini siang ya gak akan ketemu."
Warung Nagih,"Jl. Kapten Tendean No.41 2 2, RT.2/RW.3, Kuningan Bar., Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790",Jakarta Selatan,16.30  -  01.30,4:30:00 PM,  01.30,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.3,,PKL,"Nasi Goreng, Mie Goreng, Ayam Goreng, Sate Ayam","Baru opening Mie Banglasdesh rame pollll, waiting list sekitar 40 menit - 1 jam an. Rasanya enak sih tapi over price untuk seporsi indomie"
Soto Jakarta Bang Madun,"Jl. Barito I No.2, RT.2/RW.1, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,09.00  -  22.00,9:00:00 AM,  22.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.3,85810507830,PKL,"Soto Betawi, Nasi Uduk, Ayam Goreng, Sambal","Menu yang sangat unik untuk sebuah soto betawi campur di Jakarta, karena menggunakan siraman bumbu kacang yang membuat rasanya menjadi sangat baru di mulut saya, dengan arti positif, alias enakkk👍 Harganya juga masih ramah kantong."
R.M. Sepakat,"Jl. Melawai 9, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,10.00  -  15.30,10:00:00 AM,  15.30,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.4,217204712,PKL,"Nasi Padang, Rendang, Ayam Pop, Gulai","Sumpah ini makanannya enak banget menurut gue, kuah gulainya super mantappp. Tempatnya agak tersembunyi ada di lantai 2 dengan tangga yang nyempil. Dan harus cepat cepat datangnya karena tadi nyampe sana jam 2 sudah mau abis abisan. Tutup stenegah 3 sore. Tempat makannya emang agak kusut masai LOL, jadi mungkin yang merasa ngga nyaman mending bungkus."
"Pecel Lele Si Doel, Empal goreng","Jl. Wijaya I No.28, Petogogan, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12170",Jakarta Selatan,17.00  -  00.00,5:00:00 PM,  00.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.7,,PKL,"Pecel Lele, Empal Goreng, Nasi Putih, Sambal",Sebagai penggemar lele bolehlah ini direkomendasi. Baru nyobain langsung cocok. Harga juga murah terjangkau. Hanya tempatnya memang lumayan sempit kalau mau makan ditempat. Jadi rada PR kalo datang ramean.
Mie Ayam Baso Dondon,"Blok M Square Lantai Basement, No.170, Pujasera Pintu M - M06, Jl. Melawai 5, RT.3/RW.1, Melawai, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12160",Jakarta Selatan,10.00  -  20.00,10:00:00 AM,  20.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.6,,PKL,"Mie Ayam, Bakso, Pangsit Goreng, Mie Goreng","Mie ayamnya enakk tipikal mie ayam jawa yang manis gitu. Mienya keriting kecil-kecil, ayamnya gurih manis, basonya cukup enak. Es jeruknya seger banget gak terlalu asem. Lokasinya di pujasera blok M square basement ya. Pembayaran bisa cash dan Qris"
Warung Bu Vesti Barito,"Jl. Barito II No.4, RT.4/RW.4, Kramat Pela, Kec. Kby. Baru, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12130",Jakarta Selatan,18.00  -  00.00,6:00:00 PM,  00.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.7,85777066077,PKL,"Nasi Goreng, Mie Goreng, Ayam Goreng, Sate Ayam","Lokasinya dipinggir jalan, tapi bukan jalan utama, sebrangan sama lawson/indomaret kalo gasalah. Areanya cukup luas sebenernya. Menu wajibnya ayam bakar, tipe ayam bakar yang manis. Sambelnya juga bukan sambel yang pedes bgt gitu, sambelnya cukup manis. Untuk yang suka tipe sambel pedes kayanya disini kurang cocok. Soalnya rasa makanannya lebih ke manis rata-rata."
Nikki Bakso Daging Sapi,"Jl. KH Abdullah Syafei No.11, RT.4/RW.1, Manggarai Sel., Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12860",Jakarta Selatan,09.00  -  21.00,9:00:00 AM,  21.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.5,87850966669,PKL,"Bakso Urat, Bakso Telur, Mie Ayam, Bakso Keju","Dari rasa sesuai dengan nama tempatnya daging sapi terasa, kuah kaldu gurih, bakso nya enak wajib di coba. Biasanya di jam makan siang rame jadi disini kesadaran aja kalo udh 20 menit ya wajib gantian, kalo mau lama nongkrong bukan disini. Haha Harga juga gak mahal, porsi buat saya kecil dengan 4 bakso urat dengan tetelan yang cukup banyak. Tempat nya gak terlalu besar jadi harap ngerti ajalah namanya juga jakarta."
1/15 Coffee Menteng,"Jl. Dr. Kusuma Atmaja No.79 10, RT.10/RW.4, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,07.00  -  21.00,7:00:00 AM,  21.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.5,81290002128,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Baru pertama kali kesini, buat numpamg kerja dadakan. Karena bukan penggemar kopi, akhirnya pesan Acai Bowl & temenku pesen Seafood Spagetti. Overall enak, ga mengecewakan. Tp untuk harga memang agak cukup pricey kalo menurutku, karena mostly >80k untuk Mains-nya."
Arborea Café,"Manggala Wanabakti complex, Jl. Gatot Subroto No.1, RT.1/RW.3, Gelora, Tanah Abang, Central Jakarta City, Jakarta 10270",Jakarta Pusat,11.00  -  21.00,11:00:00 AM,  21.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.5,8983535476,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Seru juga ngopi di bawah pepohonan kayak gini. Ke sini sekitar jam 3an kebetulan cuaca Jakarta lagi panas-panasnya tapi di bawah pepohonan jadi tetep sejuk. Kalau baru pertama kali ke sini mungkin akan sedikit bingung karna lokasinya di dalam area Kementerian Kehutanan. Buat yang bawa kendaraan, parkirnya ga jauh dari cafe ini. Aku pesen cafe latte, kopinya enak sih. Sempet cobain French friesnya juga. Porsinya juga lumayan banyak dengan harga segitu. Di sini ada pastry dan menu nasi juga. Mungkin repotnya kalau hujan area indoornya terbatas. Kebetulan ke sini bawa balita juga, tempatnya cukup lah buat lari-larian menghabiskan energi anak"
Giyanti Coffee Roastery,"Jl. Surabaya No.20, RT.15/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,08.30  -  17.30,8:30:00 AM,  17.30,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.6,2131923698,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich",Pecinta kopi wajib mampir ngopi di coffeeshop ini. Ada banyak pilihan minuman kopi dengan kualitas biji kopi terbaik. Disini juga ada menu kopi Magic yang jarang ditemuin di coffeeshop lain.
Common Grounds Coffee and Roastery CS,"Jl. KH Mas Mansyur, Citywalk Sudirman GF No.Kav. 121, RT.10/RW.11, Karet Tengsin, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10250",Jakarta Pusat,08.00  -  20..00,8:00:00 AM,  20..00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.5,2125558963,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Tempat ngopi yg asik di daerah sudirman, baristanya ramah Dan pelayanannya sangat baik, untuk coffe Dan partiserienya sangat mantap, terutama barista maliq sangat take care Dan mengerti selara coffe saya, pokoknya sangat recommend barista yg namanya maliq, jarang nemu yg sangat bagus seperti ini"
Monolog Coffee Company Plaza Senayan,"Plaza Senayan Mall, Palm Gate Entrance, Jl. Asia Afrika No.8 CP 101 B, Gelora, Jakarta 10270",Jakarta Pusat,07.00  -  22.00,7:00:00 AM,  22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.6,215725144,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","nyaman bgt makan di sini, tempatnya extra cozy, layanan baik, makanannya enak dan porsinya banyak!"
UNION Cafe Senayan City,"Senayan City, Lower Ground Floor, Jl. Asia Afrika No.19, RT.1/RW.3, Gelora, Central Jakarta City, Jakarta 10270",Jakarta Pusat,10.00  -  22.00,10:00:00 AM,  22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.6,2172781145,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Tempatnya bundar mengelilingi pilar. Cocok buat hang out bareng teman atau keluarga. Pelayanannya ramah. Makanannya enak. Favoritku Crispy Skin salmon with mashed potato, orange & ginger soy (mantap deh). Lainnya juga ok spt Chicken Steak, Romain salad, Australian Tenderloin steak. Kopinya mantap. Jangan lupa dessertnya red velvet cake wajib coba."
The Atjeh Connection Bendungan Hilir Raya,"RT.8/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Jakarta Pusat,07.00  -  02.00,7:00:00 AM,  02.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.4,82213769342,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Seru juga di sini makanan dan minumannya enak, tempatnya buka sampe larut malam. Jadi kalau butuh buat ngerjain tugas tugas dan kerjaan bisa di sini."
Gramasi Coffee,"Jl. Pegangsaan Timur No.7, RT.1/RW.1, Pegangsaan, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10330",Jakarta Pusat,08.00  -  20.00,8:00:00 AM,  20.00,10.000  -  50.000,"10.000,00","50.000,00","30.000,00",4.5,81317786273,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Tempat minum kopi yang compact tapi vibes nya enak. Kalau kesini pas weekend dan siang siang jangan kaget kalau full sampe gak dapat tempat. Ada 2 ruangan sih, indoor dan smooking room tapi gak terlalu luas. Untuk indoor mungkin cukup 8-9 orang. Kalau yang smooking room cukup 6-8 orang aja kali ya. Pesannya bisa pilih sendiri di layar yang disediakan. Must try their almond croissant!! It’s so gewwdd!! It’s actually one of the best croissant here in Jakarta!! Banyak pilihan pastrynya dan gendut gendut! Harganya standard lah ya, mereka ada paket combo juga, jadi pesen minuman sekaligus pastry nya🫶"
Watt Coffee,"The Capitol Park, Apartment, Jl. Salemba Raya No.16, RT.3/RW.6, Kenari, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10430",Jakarta Pusat,09.00  -  21.00,9:00:00 AM,  21.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.4,,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich",Coffee shop di area apartemen Capitol dengan konsep yang minimalis modern. Tempatnya cukup luas dan nyaman. AC dingin. Harga makanan dan minuman moderate. Menu cukup beragam. Parkiran agak jauh di apartemen. Ada tempat duduk indoor maupun outdoor. Pegawai ramah dan responsif.
Goedkoop,"Jl. Bendungan Hilir No.62, RT.5/RW.1, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Jakarta Pusat,07.30  -  22.00,7:30:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.4,215734430,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Tempatnya cukup luas, memanjang ke belakang. Dekorasinya bagus dan membuat suasananya nyaman. Ada piano juga yang bisa dimainkan oleh pengunjung. Creamy Pesto-nya enak."
Kafe Gamat Bendungan Hilir,"Jl. Danau Toba No.A49, RT.4/RW.4, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Jakarta Pusat,09.00  -  22.00,9:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.5,81323919788,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Secara keseluruhan, tempat makan ini menawarkan lebih dari sekedar makanan dan minuman yang lezat; itu adalah oase bagi pencinta kuliner yang mencari pengalaman makan yang menenangkan dan memuaskan. Saya sangat merekomendasikan tempat ini bagi siapa saja yang ingin menikmati makanan berkualitas tinggi dalam suasana yang santai dan elegan. Ini adalah tempat yang harus dikunjungi bagi mereka yang menghargai kelezatan, keramahan, dan kenyamanan."
Maple And Oak,"Jl. HOS. Cokroaminoto No.91, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,07.00  -  22.00,7:00:00 AM,  22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.4,81246219273,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","iseng-iseng cari tempat brunch pas long weekend, terus ketemu tempat ini di menteng, ga expect banyak tp ternyata makanannya enak 😭 ga banyak tempat jual grilled cheese but their grilled cheese is *chef’s kiss* 😚"
Atap Rumah Cafe,"Jl. Penjernihan IV No.9 12, RT.4/RW.5, Bend. Hilir, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10210",Jakarta Pusat,09.00  -  22.00,9:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.4,2125981666,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich",Salah satu tempat makan di rooftop yang bisa jadi alternatif di daerah Benhill Jakarta . Untuk ke lantai 5 dengan minim order IDR 50 k
ST ALi Jakarta,"Setiabudi Building One 2 GF - 103A Jalan Hr. Rasuna Said Blok Kav. 62 Setiabudi, RT.6/RW.7, Karet Kuningan, Daerah Khusus Ibukota Jakarta 12950",Jakarta Pusat,07.00  -  21.00,7:00:00 AM,  21.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.4,819805012,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Untuk harga coffee dan makanan disini memang ada di range middle up. Coffee start dari harga 40ribuan. Untuk makanan lebih diatasnya. Harga segitu mungkin relevan, namanya juga cafe kekinian dan banyak yang kesini adalah orang kantoran dan ekspatriat. WAJIB COBA: COFFEE ADVENTURE!!! Makanan? Jangan ditanya, walau harganya ""lumayan"" tapi plating dan rasanya juara. Enak banget. Mau pastry, camilan maupun makanan beratnya pun terasa berkelas. Memang sih ada harga, ada rupa."
Kopi Nako Daur Baur,"Senayan Park, Jl. Gerbang Pemuda No.3 LG - 59, RT.1/RW.3, Gelora, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10270",Jakarta Pusat,07.00  -  23.00,7:00:00 AM,  23.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.7,,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Good place, good vibes. Wajar banget selalu rame karena kopi mereka enak, harga terjangkau terus bisa nongkrong sambil nikmatin pemandangan yang seindah ini di Jakarta hahahaha! Minusnya ga ada atapnya di bagian danau, jadi kalau hujan ya kehujanan, kalau panas ya kepanasan. Recommended cobain coldbrew mereka yang cherry berry dan kalo mau yg basic gula aren gitu cobain yang kopi nako. Untuk snack mereka juga banyak pilihan dan harganya terjangkau!"
Djournal Coffee,"Grand Indonesia West Mall Ground Floor Lobby Pandawa, Jl M.H Thamrin No 1, Kebon Melati, Kb. Melati, Kecamatan Tanah Abang, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,09.00  -  22.00,9:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.5,2123581835,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Djournal Coffee di Grand Indonesia adalah tempat yang sempurna untuk menikmati kopi berkualitas sambil menikmati suasana yang nyaman. Dengan pilihan kopi yang luas dan variasi makanan ringan yang lezat, ini adalah tempat yang cocok untuk bersantai. Sangat direkomendasikan bagi pecinta kopi!"
The Acre,"Jl. HOS. Cokroaminoto No.100, RT.2/RW.5, Menteng, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,07.00  -  23.00,7:00:00 AM,  23.00,150.00  -  250.000,"6,25","250.000,00","125.003,13",4.7,81138138138,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Suka banget kesini kalo ketemuan sama temen-temen. Kalo kesini selalu pesen caramel cold blue coffee nya sama mushroom jalapeno nya. Tempatnya luas, ada indoor maupun outdoor, tersedia baby chair juga. Parkiran lumayan luas, misal gadapet tetep bisa valet parking…"
Titik Temu Cafe  -  Sarinah,"Jl. M. H. Thamrin. 11 Lt 1 Unit 04 - 04A, Gondangdia, Kec. Menteng, Daerah Khusus Ibukota Jakarta 10350",Jakarta Pusat,08.00  -  01.00,8:00:00 AM,  01.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.6,8111776708,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","ada indoor sm oudoor. suasana outdoor menghadap balkon & terasa anginnya kenceng banget. Lumayan rame tapi gak yang berisik gitu. Banana cake icecream nya enak banget manis nya pas, disediain mineral water jugaa hihi 🤗💯"
Mattea Social Space  -  Cempaka Putih,"Jl. Rawasari Bar. I No.35, RT.7/RW.1, Cemp. Putih Tim., Kec. Cemp. Putih, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10520",Jakarta Pusat,08.00  -  24.00,8:00:00 AM,  24.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.5,82124092481,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Overall oke, tempatnya ada indoor dan outdoor Ada beberapa colokan di indoor jadi bisa nugas atau wfc, wifinya juga cukup kenceng"
Amuya Cafe Kemayoran,"Gedung Graha Kana, Jl. Angkasa 1 No.Kav.4 Blok B16, Gn. Sahari Sel., Kec. Kemayoran, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10720",Jakarta Pusat,08.00  -  20.00,8:00:00 AM,  20.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.8,81222226541,Café,"Espresso, Latte, Cappuccino, Croissant, Sandwich","Sudah tak terhitung berapa kali ke sini... dari baru buka dan harga kopinya masih 20an sampai sekarang udah 30an 😅 tapi pelayanan dan kenyamanan Amuya Cafe tidak pernah mengecewakan. Semua menu yang pernah saya pesan (tidak semua saya foto) hampir tidak pernah gagal, enak semua."
Exquise Patisserie  -  Menteng,"Jl. HOS. Cokroaminoto No.42A, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10310",Jakarta Pusat,08.00  -  21.00,8:00:00 AM,  21.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.5,818669009,Bakery,"Cake, Bread, Pastry, Donut","Seperti biasa all Exquise are best ever. Staffnya ramah ramah, croisant and cake nya enak2🥰.. suasananya nyaman banget. Kita datang pas tdk terlalu rame, jd seperti duduk di halaman belakang rumah sendiri😄. Our fav place to hang out for family or friends chit chat for sweets and coffee.❤️❤️"
Dream Dates Bakery & Coffee,"Jl. K.H. Wahid Hasyim No.37, RT.1/RW.6, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,07.00  -  22.00,7:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.4,,Bakery,"Cake, Bread, Pastry, Donut","hampir semua dessert di sini enak harganya under rata2 under 50an. yang recommend: matcha eclair & crookie.. poured tiramisu nya enak ga terlalu manis, tapi saran aku ini hrs sharing ya karena kalo kebanyakan jadi eneg."
Kempi Deli,"Jl. M.H. Thamrin No.1 1A, RT.1/RW.5, Menteng, Central Jakarta City, Jakarta 10310",Jakarta Pusat,08.30  -  22.00,8:30:00 AM,  22.00,100.000  -  200.000,"100.000,00","200.000,00","150.000,00",4.6,2123583985,Bakery,"Cake, Bread, Pastry, Donut",Chocolate bombolone yang lebih mirip donat coklat aja sih. Rasanya oke dan coklatnya melimpah jadi masih okelah not bad. Tempatnya oke dengan ambience macem di Europe gitu. Service nya juga oke. Oiya kalau malam suka ada diskon untuk take away tapi menunya pasti sudah sedikit.
Maison Weiner Cake Shop,"Jl. Kramat II No.2 6, RT.6/RW.7, Kwitang, Kec. Senen, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10420",Jakarta Pusat,07.00  -  18.00,7:00:00 AM,  18.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.6,213906719,Bakery,"Cake, Bread, Pastry, Donut","Salah satu bakery tertua di Indonesia, sudah ada sejak 1936. Hari ini kesini, pertama masuk aroma roti yg hangat dan wangi langsung tercium. Varian roti yg disajikan jg tipikal roti dan kue khas Belanda. Saya tertarik mencoba roti2 sourdoughnya. Walaupun pricey, namun saya tahu proses pembuatan roti sourdough emg tidak mudah dan butuh waktu jauh lbh lama sehingga wajar harganya segitu. Untuk service nya kasirnya ramah. Meja yg disediakan memang sedikit tp cukup comfy utk sekedar ngobrol2. Overall saya setuju ini must try old bakery in Jakarta si"
Canggu Bakehouse Sarinah,"Sarinah, Jl. M.H. Thamrin, RT.8/RW.4, Gondangdia, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta",Jakarta Pusat,10.00  -  22.00,10:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.9,,Bakery,"Cake, Bread, Pastry, Donut","Tempatnya nyaman, croissanntnya banyak pilihan. Must try apalagi yg caramalized banana chocolate"
Caramia Bakery,"Jl. Ir. H. Juanda 3 No.31, RT.9/RW.2, Kebon Kelapa, Gambir, Central Jakarta City, Jakarta 10120",Jakarta Pusat,06.00  -  20.00,6:00:00 AM,  20.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.5,213807415,Bakery,"Cake, Bread, Pastry, Donut","Toko roti yang sudah lama berdiri kalau tidak salah sejak tahun 70 an, terdapat roti dan kue basah serta minuman hangat dan dinginnya. Terletak di pinggir jalan, sederetan dengan museum santa maria dan sebrang jamsostek. Tersedia parkir mobil dan motor, di depan ruko."
Sakura Anpan Cake Shop,"Jl. H. Agus Salim No.25 A, RT.003/RW.1, Kb. Sirih, Kec. Menteng, Kota Jakarta Pusat, Daerah Khusus Ibukota Jakarta 10340",Jakarta Pusat,06.00  -  17.30,6:00:00 AM,  17.30,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.4,213144253,Bakery,"Cake, Bread, Pastry, Donut","Klo kangen ama rasa kue2 jadul dateng ke sini deh , cobain kue2 nya yg enak enak n inget masa2 dulu tempatnya di sabang depan hotel max one"
Sari Sari  -  Aneka Kue Jajan Pasar,"Jl. M.H. Thamrin No.11 Gedung Sarinah, Lantai Basement Unit B - 06a, Jakarta 10350",Jakarta Pusat,09.00  -  22.00,9:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.5,81386856662,Bakery,"Cake, Bread, Pastry, Donut","Banyak pilihan jajanan pasar, untuk harga masih standar dan rasa enak !!!. Kalau kesini harus cobain onde onde pandan (enak bgt). Sama banyak jenis kue nusantara yang baru liat disini, jadi harus cobainnnn rasanya juga enak enak kok. Lokasi di lantai paling bawah Sarinah. Tempat bersih dan pelayan ramah."
Kallis Bakery,"Jl. M.H. Thamrin No.Kav. 28 - 30, RT.9/RW.5, Gondangdia, Kec. Menteng, Jakarta, Daerah Khusus Ibukota Jakarta 10350",Jakarta Pusat,10.00  -  22.00,10:00:00 AM,  22.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.9,81804080812,Bakery,"Cake, Bread, Pastry, Donut","Kallis Cafe and Bakery di Jakarta adalah permata kuliner dengan suasana hangat dan mengundang. Menu yang beragam melayani beragam selera, menawarkan pilihan kopi yang mengesankan dan kue-kue yang lezat. Pilihan brunch adalah yang utama, menampilkan kreativitas dan presisi dalam setiap hidangan. Bahan-bahan berkualitas tinggi terlihat jelas, dan staf yang ramah memastikan pengalaman bersantap yang mengesankan. Lingkungan yang bersih mencerminkan komitmen terhadap kebersihan. Kallis adalah destinasi terbaik bagi mereka yang mencari perpaduan lezat antara makanan lezat, suasana ramah, dan layanan luar biasa di Jakarta."
Bistro Bakery,"GF, 12 , Metro Atom Plaza , JL. KH. Samanhudi , Pasar Baru, Sawah Besar, 10710 Jakarta Pusat, DKI Jakarta, RT.3/RW.6, Pasar Baru, Sawah Besar, Central Jakarta City, Jakarta 10710",Jakarta Pusat,07.00  -  17.00,7:00:00 AM,  17.00,50.000  -   100.000,"50.000,00","100.000,00","75.000,00",4.7,213808991,Bakery,"Cake, Bread, Pastry, Donut","wah, rotinya bener2 enak sih apalagi yg 5 rasa, kalau dari luar keliatannya kayak keras gitu padahal empuk bgtttt! toppingnya gak pelit lumer banget, ada rasa cokelat, kacang, sarikaya, vanila/? soalnya kayak isian soes gitu, ada rasa cappucino/? rasa kopi gitulah, tapi kayak ada rasa keju juga (gak 5 rasa dong malah lebih), roti yg lainnya juga enak, apalagi yg kismis (sendirinya emg suka kismis) 😂 rasanya pengen kesini lagi tapi lumayan jauh 🤣"
